date, pm25, pm10, o3, no2, so2, co
2019/1/31, 91, 44, 34, 33, 1, 11
2019/2/1, 58, 34, 63, , 1, 3
2019/2/2, 86, 40, 54, 31, 3, 8
2019/2/3, 75, 34, 62, 20, 1, 4
2019/2/4, 39, 17, 31, 6, , 2
2019/2/5, 18, 7, 13, 9, , 2
2019/2/6, 28, 13, 12, 10, , 2
2019/2/7, 41, 9, 8, 15, , 5
2019/2/8, 30, 16, 33, 16, 1, 3
2019/2/9, 7, 27, 33, 21, , 6
2019/2/10, 7, 24, 59, 15, 1, 3
2019/2/12, 65, 23, 28, 18, 1, 4
2019/2/13, 46, 19, 17, 17, , 4
2019/2/14, 38, 14, 15, 9, , 2
2019/2/15, 38, 16, 13, 10, 1, 2
2019/2/16, 56, 24, 6, 20, , 8
2019/2/17, 30, 7, 8, 14, , 5
2019/2/18, 38, 9, 11, 11, , 5
2019/2/19, 58, 24, 20, 17, 1, 6
2019/2/20, 48, 21, 21, 17, 1, 5
2019/2/21, 45, 18, 21, 16, , 4
2019/2/22, 51, 14, 13, 21, , 6
2019/2/23, 63, 20, 10, 22, , 8
2019/2/24, 64, 17, 9, 20, , 13
2019/2/25, 60, 12, 23, 13, , 10
2019/2/26, 54, 12, 20, 16, 1, 4
2019/2/27, 35, 6, 10, 22, , 6
2019/2/28, 38, 9, 18, 18, , 5
2019/3/6, 38, 8, 30, 12, 1, 23
2019/3/7, 39, 13, 21, 22, , 13
2019/3/8, 41, 18, 15, 22, , 10
2019/3/9, 34, 18, 20, 20, 1, 6
2019/3/10, 54, 31, 25, 26, , 11
2019/3/11, 20, 8, 15, 9, , 2
2019/3/12, 17, 8, 10, 11, , 2
2019/3/13, 38, 12, 30, 18, 1, 3
2019/3/14, 34, 18, 23, 18, , 4
2019/3/15, 28, 16, 14, 20, , 5
2019/3/16, 31, 14, 16, 19, , 5
2019/3/17, 29, 13, 23, 11, 1, 2
2019/3/18, 23, 11, 25, 11, 1, 4
2019/3/19, 39, 17, 18, 20, 1, 6
2019/3/20, 31, 17, 17, 22, 1, 5
