date, pm25, pm10, o3, no2, so2, co
2019/1/22, 40, , 32, 19, 1, 
2019/1/23, 57, , 44, 14, , 
2019/1/24, 64, , 35, 22, 1, 
2019/1/25, 62, , 28, 11, , 
2019/1/26, 44, , 35, 18, , 
2019/1/27, 42, , 25, 10, , 
2019/1/28, 37, , 33, 16, 1, 
2019/1/29, 55, , 39, 23, 1, 
2019/1/30, 56, , 51, 36, 1, 
2019/1/31, 78, , 93, 36, 1, 
2019/2/1, 72, , 20, 28, 3, 
2019/2/2, 82, , 49, 15, 1, 
2019/2/3, 87, , 7, 3, , 
2019/2/4, 85, , , 9, , 
2019/2/6, 37, , 7, 14, , 
2019/2/7, 28, , , 16, 1, 
2019/2/9, 71, , , 15, 1, 
2019/2/13, 30, , 18, 9, , 
2019/2/14, 32, , 12, 10, 1, 
2019/2/15, 35, , 7, 19, , 
2019/2/16, 55, , 13, 14, , 
2019/2/17, 29, , 19, 12, , 
2019/2/18, 38, , 29, 16, 1, 
2019/2/19, 54, 28, 32, 15, 1, 
2019/2/20, 41, 26, 29, 14, , 
2019/2/21, 45, 23, 19, 17, , 
2019/2/22, 49, 30, 27, 19, , 
2019/2/23, 48, 25, 25, 24, , 
2019/2/24, 49, 20, 35, 12, , 
2019/2/25, 46, 23, 9, 11, 1, 
2019/2/26, 40, , , 21, , 
2019/2/27, 35, , 13, 16, , 
2019/2/28, 35, , , , , 
2019/3/4, 42, , 25, 11, , 2
2019/3/5, 41, , 24, 12, 1, 2
2019/3/6, 51, , 2, 20, , 4
2019/3/7, 50, , 7, 21, , 5
2019/3/8, 52, 21, 11, 18, 1, 3
2019/3/9, 51, 37, , 23, , 8
2019/3/10, 71, , 19, 6, , 
2019/3/11, 45, , 10, 9, , 
2019/3/12, 42, , 33, 13, 1, 
2019/3/13, 52, , 34, 17, , 
2019/3/14, 53, , 28, 17, , 
2019/3/15, 45, , 22, 17, , 
2019/3/16, 50, , 23, 11, 1, 
2019/3/17, 49, , 23, 9, 1, 
2019/3/18, 46, , 33, 16, 1, 
